Primary_User	Article1	Article2	Article3	Article4	Article5	Article6	Article7	Article8	Article9	Article10
10407	SGNews/Asia_11434.txt	SGNews/Asia_10784.txt	SGNews/Asia_12787.txt	SGNews/Asia_11397.txt	SGNews/Asia_11531.txt	SGNews/Asia_10984.txt	SGNews/Asia_11177.txt	SGNews/Asia_13247.txt	SGNews/Asia_13964.txt	SGNews/Asia_11390.txt
9263	SGNews/Asia_12515.txt	SGNews/Asia_11707.txt	SGNews/Asia_12265.txt	SGNews/Asia_11478.txt	SGNews/Asia_13430.txt	SGNews/Asia_11505.txt	SGNews/Asia_12079.txt	SGNews/Asia_13555.txt	SGNews/Asia_13745.txt	SGNews/Asia_12502.txt
12459	SGNews/Asia_13072.txt	SGNews/Asia_12369.txt	SGNews/Asia_14148.txt	SGNews/Asia_10614.txt	SGNews/Asia_13838.txt	SGNews/Asia_13750.txt	SGNews/Asia_10755.txt	SGNews/Asia_13383.txt	SGNews/Asia_12366.txt	SGNews/Asia_12070.txt
13123	SGNews/Asia_10580.txt	SGNews/Asia_10083.txt	SGNews/Asia_14100.txt	SGNews/Asia_11688.txt	SGNews/Asia_13428.txt	SGNews/Asia_12156.txt	SGNews/Asia_10882.txt	SGNews/Asia_10785.txt	SGNews/Asia_13476.txt	SGNews/Asia_11477.txt
12163	SGNews/Asia_10083.txt	SGNews/Asia_11706.txt	SGNews/Asia_12243.txt	SGNews/Asia_13068.txt	SGNews/Asia_13589.txt	SGNews/Asia_13392.txt	SGNews/Asia_13336.txt	SGNews/Asia_12856.txt	SGNews/Asia_13341.txt	SGNews/Asia_10365.txt
23301	SGNews/Asia_10083.txt	SGNews/Asia_11706.txt	SGNews/Asia_10043.txt	SGNews/Asia_12300.txt	SGNews/Asia_10764.txt	SGNews/Asia_13588.txt	SGNews/Asia_14149.txt	SGNews/Asia_13653.txt	SGNews/Asia_14090.txt	SGNews/Asia_13461.txt
23114	SGNews/Asia_11707.txt	SGNews/Asia_10083.txt	SGNews/Asia_13590.txt	SGNews/Asia_10151.txt	SGNews/Asia_10198.txt	SGNews/Asia_11477.txt	SGNews/Asia_13316.txt	SGNews/Asia_10786.txt	SGNews/Asia_10048.txt	SGNews/Asia_13555.txt
10156	SGNews/Asia_12829.txt	SGNews/Asia_13707.txt	SGNews/Asia_13901.txt	SGNews/Asia_12691.txt	SGNews/Asia_10885.txt	SGNews/Asia_13575.txt	SGNews/Asia_10525.txt	SGNews/Asia_12664.txt	SGNews/Asia_11357.txt	SGNews/Asia_10152.txt
14222	SGNews/Asia_12596.txt	SGNews/Asia_11478.txt	SGNews/Asia_11080.txt	SGNews/Asia_11504.txt	SGNews/Asia_10789.txt	SGNews/Asia_14074.txt	SGNews/Asia_13748.txt	SGNews/Asia_10152.txt	SGNews/Asia_10199.txt	SGNews/Asia_12504.txt
21076	SGNews/Asia_13657.txt	SGNews/Asia_11506.txt	SGNews/Asia_10014.txt	SGNews/Asia_10907.txt	SGNews/Asia_13501.txt	SGNews/Asia_10579.txt	SGNews/Asia_13630.txt	SGNews/Asia_11527.txt	SGNews/Asia_11467.txt	SGNews/Asia_11755.txt
